MSN,YYYYMM,Value,Column_Order,Description,Unit
NGINSUS,199904,16.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199904,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199904,2.29,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199904,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199905,2.17,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199905,3.25,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199905,7.3,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199905,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199905,5.34,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199905,61,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199905,2.86,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199905,16,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199905,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199905,2.57,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199905,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199906,2.14,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199906,3.12,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199906,8.2,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199906,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199906,5.29,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199906,61,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199906,2.82,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199906,15.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199906,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199906,2.53,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199906,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199907,2.2,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199907,3.11,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199907,8.83,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199907,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199907,5.43,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199907,58.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199907,2.86,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199907,15.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199907,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199907,2.58,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199907,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199908,2.51,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199908,3.39,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199908,9.14,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199908,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199908,5.45,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199908,56.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199908,2.98,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199908,18.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199908,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199908,2.86,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199908,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199909,2.62,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199909,3.59,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199909,8.63,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199909,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199909,5.55,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199909,60,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199909,3.4,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199909,17.6,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199909,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199909,2.98,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199909,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199910,2.52,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199910,3.21,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199910,7.56,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199910,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199910,5.46,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199910,61.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199910,3.2,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199910,17.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199910,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199910,2.83,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199910,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199911,2.68,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199911,3.71,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199911,7.15,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199911,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199911,5.72,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199911,63,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199911,3.51,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199911,17.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199911,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199911,3.01,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199911,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199912,2.24,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199912,3.19,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199912,6.51,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199912,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199912,5.57,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199912,67.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199912,3.16,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199912,21.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199912,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199912,2.68,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199912,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,199913,2.19,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,199913,3.1,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,199913,6.69,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,199913,95.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,199913,5.33,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,199913,66.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,199913,3.12,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,199913,18.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,199913,4.34,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,199913,2.62,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,199913,58.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,200001,2.6,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,200001,3.27,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,200001,6.37,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,200001,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,200001,5.77,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,200001,67.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,200001,3.41,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,200001,18.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,200001,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,200001,2.74,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,200001,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,200002,2.73,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,200002,3.48,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,200002,6.54,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,200002,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,200002,5.95,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,200002,68.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,200002,3.68,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,200002,19.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,200002,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,200002,2.96,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,200002,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,200003,2.66,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,200003,3.54,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,200003,6.91,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,200003,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,200003,5.78,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,200003,63.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,200003,3.54,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,200003,18.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,200003,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,200003,3,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,200003,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,200004,2.86,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,200004,3.72,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,200004,7.19,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,200004,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,200004,6.03,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,200004,62.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,200004,3.59,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,200004,18,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,200004,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,200004,3.23,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,200004,Not Available,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,200005,3.04,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,200005,4.15,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,200005,8.26,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,200005,Not Available,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,200005,5.97,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,200005,60.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,200005,3.67,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,200005,17,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,200005,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
